"ExpertiseID";"Expertise";"SupervisorID"
0;"MULTIMEDIA";36
7;"COMPUTER SCIENCE";3
68;"MACHINE LEARNING";39
69;"WEB CACHING IN NETWORK SYSTEMS";40
351;"ARTIFICIAL INTELLIGENCE";2
352;"INFORMATION TECHNOLOGY";2
353;"BIOINFORMATICS";2
354;"DATA MINING";2
355;"FUZZY SYSTEM";2
356;"MOBILE APPLICATION";1
357;"NEURAL NETWORKS";1
358;"SOFTWARE DESIGN";1
359;"COMPUTER SOFTWARE";1
360;"MOBILE GAMES";1
361;"ALGORITHM";4
362;"DATA MINING";4
363;"BIOINFORMATICS";4
364;"PREDICTIVE MODEL";4
365;"REVERSE ENGINEERING";4
366;"FORECASTING";5
367;"K-MEANS CLUSTERING";5
368;"LEARNING ALGORITHMS";5
369;"SUPERVISED MACHINE LEARNING";5
370;"SUPPORT VECTOR MACHINE";5
371;"CLOUD COMPUTING";6
372;"DEEP LEARNING";6
373;"MACHINE LEARNING";6
374;"WEB SERVICES";6
375;"DATA SCIENCE";6
376;"CLASSIFICATION";8
377;"CONFIDENCE ASSESSMENT";8
378;"NAIVE BAYES";8
379;"SYSTEMATIC LITERATURE REVIEW";8
380;"RESEARCH TREND";8
381;"CNN";7
382;"BOF";7
383;"LEAF DISEASE RECOGNITION";7
384;"SURF";7
385;"SVM";7
386;"INFORMATION RETRIEVAL";9
387;"KNOWLEDGE MANAGEMENT";9
388;"CONTINUOUS SPEECH RECOGNITION";9
389;"LEARNING ALGORITHMS";9
390;"CONVOLUTIONAL NEURAL NETWORKS";9
391;"DOMAIN SPECIFIC";10
392;"EXPERT EVALUATION";10
393;"INDUSTRIAL ELECTRONICS";10
394;"NAIVE BAYES";10
395;"SENTIMENT ANALYSIS";10
396;"MACHINE LEARNING";11
397;"SOFTWARE ENGINEERING";11
398;"QUALITY CONTROL";11
399;"DATA MINING";11
400;"DECISION TREES";11
401;"APPLICATION PROGRAMS";12
402;"WEB BASED APPLICATIONS";12
403;"ADVERSARIAL MACHINE LEARNING";12
404;"CHATBOT";12
405;"COMPUTER CRIME";12
406;"INTERNET OF THINGS";13
407;"IMAGE CLASSIFICATION";13
408;"SMART FARMING";13
409;"SPEECH TRANSMISSION";13
410;"STORYTELLING";13
411;"INTERNET OF THINGS";14
